,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,FOS,57.72156,3.4884655,0.0,0.0
1,0,MUCL1,53.578396,5.390509,0.0,0.0
2,0,ZFP36,49.22704,2.9625869,0.0,0.0
3,0,CD24,48.67528,3.8678799,0.0,0.0
4,0,MALAT1,46.368023,2.6302233,0.0,0.0
5,0,TMC5,46.1021,3.5750048,0.0,0.0
6,0,RP11-206M11.7,45.473606,3.605268,0.0,0.0
7,0,MT-CO2,44.146355,2.2998664,0.0,0.0
8,0,TFF3,42.513725,3.202766,0.0,0.0
9,0,MT-ND4L,41.752247,3.1899116,0.0,0.0
10,0,IGKV3-15,41.308365,2.8531718,0.0,0.0
11,0,LINC01285,40.194996,4.0477943,0.0,0.0
12,0,EGLN3,39.34886,2.6206903,0.0,0.0
13,0,AZGP1,39.22166,2.3388402,0.0,0.0
14,0,IGKV3-20,38.43608,2.424527,0.0,0.0
15,0,C6orf203,37.248,2.6395907,1.1415641245726465e-303,1.8096795490593746e-301
16,0,IGKV4-1,36.634636,2.478908,8.038148707638634e-294,1.2105451953703782e-291
17,0,APOD,35.084827,3.0481036,1.1484729193838412e-269,1.6472383015162523e-267
18,0,IGKV1-9,34.31465,2.4667974,4.744752682670344e-258,6.495997763728671e-256
19,0,JUNB,34.004158,1.6677212,1.933902900296872e-253,2.532571972040947e-251
20,0,FABP7,33.093903,2.6454103,3.6370519801769064e-240,4.564500235122018e-238
21,0,IGKV3-11,30.802246,2.0862434,2.445151907048691e-208,2.945919017612263e-206
22,0,EDN1,30.706522,3.1049085,4.657684186316887e-207,5.39574798814864e-205
24,0,SCD,30.235115,2.015957,8.187822611168194e-201,8.80775775172807e-199
25,0,BAMBI,26.974422,2.0458317,2.9500419945416684e-160,2.692583784108941e-158
26,0,IGLV1-40,26.193745,2.1850722,3.131299662066983e-151,2.77396311239581e-149
27,0,SLPI,26.05425,1.4112235,1.204109007648423e-149,1.0362218088677286e-147
28,0,SFN,25.979033,1.604166,8.546881046776336e-149,7.150890475802868e-147
29,0,IGHG1,25.619293,2.099549,9.300748424908222e-145,7.571311961033396e-143
30,0,IGHV6-1,25.258072,2.7956693,9.234011876274375e-141,7.131498402907286e-139
31,0,RND1,24.262491,3.576216,4.881307187343103e-130,3.6756243120693564e-128
32,0,IGFBP5,23.33046,1.7075038,2.176346519824504e-120,1.5988184677344893e-118
33,0,PDLIM3,22.38924,2.5198512,5.010476529027452e-111,3.4298989330524285e-109
34,0,FOXA1,22.225727,2.5106516,1.937205701742526e-109,1.2684486029670626e-107
35,0,BATF,20.998413,1.9830215,6.781283791839317e-98,4.004946427650985e-96
36,0,AKT1,20.823166,1.6911858,2.669536412156533e-96,1.5462776295029767e-94
37,0,EFNA1,19.328472,1.2657785,3.0944593810588364e-83,1.6643770813837884e-81
39,0,IGKV1-5,17.429646,1.0983051,4.914920324708422e-68,2.313084377815901e-66
40,0,IGHV1-46,17.339392,2.4110715,2.3723782388756565e-67,1.082667159923254e-65
41,0,HIST1H4C,17.320267,1.0369695,3.30820704447165e-67,1.4872118832759117e-65
42,0,TDO2,17.169884,2.1470835,4.463060799786658e-66,1.9768734013172667e-64
43,0,PDK4,16.869492,4.025857,7.544233822222343e-64,3.156004482296347e-62
44,0,CYR61,16.280241,1.3603296,1.3633160707987414e-59,5.332867539280271e-58
45,0,ANXA2R,16.091927,2.336375,2.906515711365127e-58,1.1081551041306028e-56
46,0,TNIK,14.941838,2.3299403,1.7605133074415827e-50,6.388754315679575e-49
47,0,IGHV4-39,14.933834,1.9758638,1.9851468706341074e-50,7.118169493273728e-49
48,0,IGHV3-21,14.684794,2.1420357,8.067900004700135e-49,2.7931626223168747e-47
50,0,LDLRAD4,13.992373,2.0290704,1.735216888970137e-44,5.33313598936536e-43
51,0,SLC40A1,13.688274,2.0585659,1.193089579936343e-42,3.5580057571963023e-41
52,0,CYP4Z1,13.311525,2.5249577,1.9839085215850282e-40,5.8014878320525294e-39
54,0,IGLV2-23,12.94178,1.9311132,2.61499036491575e-38,7.390065974936208e-37
56,0,ANGPTL4,12.472759,1.8040084,1.051218311467397e-35,2.802008454990973e-34
57,0,EGFL7,12.418114,1.5791986,2.084175685941876e-35,5.506611549172746e-34
58,0,RCAN1,12.393723,1.6846704,2.8261519749420394e-35,7.402060650891672e-34
59,0,CCL28,12.365358,1.0857213,4.0241058418672506e-35,1.044879896181393e-33
60,0,HIST1H1E,12.288602,1.5013164,1.0429367240199203e-34,2.639769254410084e-33
61,0,CH17-224D4.2,12.124238,2.0860226,7.858748263872304e-34,1.924434940714096e-32
63,0,IGLV3-25,11.384224,1.188186,5.011236620526715e-30,1.1180625704464049e-28
67,0,LTF,10.760213,1.5138849,5.304741593385403e-27,1.0869307264814174e-25
