names,logfoldchanges,pvals_adj
FAP,5.088061,1.3653869756108996e-64
COL5A1,5.08297,3.5484711523544515e-73
COL14A1,5.070919,0.0003646473814052
COL1A1,5.068594,4.8305913968329486e-231
MYL9,5.0252013,2.5403797062385693e-307
MAP3K7CL,4.984911,2.9384708395838088e-08
LOXL1,4.931843,1.0796694884037085e-237
CCDC80,4.9183764,2.6672568414909704e-144
PAMR1,4.91793,0.0089769921173574
TNFSF9,4.8209424,8.643957180119841e-11
COX7A1,4.8185906,5.285261551805639e-56
IGFBP7,4.8153934,1.8261930458246328e-303
OLFML3,4.8100386,2.7486587389158885e-29
ACKR4,4.7895546,0.0025878809931298
CNN1,4.7539887,0.0016575948856789
HTRA3,4.673382,1.524800295742323e-09
RRAD,4.631179,2.071744829135662e-35
ECSCR.1,4.561228,9.823191756118627e-06
HAS2,4.533141,2.4961900185655896e-10
MEG3,4.509957,4.0358600271930724e-24
PLXDC1,4.468938,0.0009497347833852
GDF15,4.4159193,3.8816997066817225e-72
PTGDS,4.2918663,5.007085888342863e-16
PTN,4.2878036,6.9002733766185795e-127
RP11-124N14.3,4.262963,7.337919740986366e-43
HEG1,4.220084,2.3534910844532798e-57
COL18A1,4.1551375,1.3614217879932276e-130
MMP19,4.1465244,7.688451113400502e-24
NID1,4.1445737,2.0072968620278748e-20
TRABD2A,4.144526,2.024820499286381e-31
TNFRSF10D,4.1442876,1.1792204379553088e-26
CALCRL,4.1414056,1.0431806943479487e-06
TPM2,4.12505,0.0
LEF1,4.123198,1.0937410925547353e-13
ABI3BP,4.1228294,0.000549838193873
SRPX,3.972577,1.2390299061666822e-150
ACTA2,3.935569,2.531164862160968e-206
ADAM19,3.8995695,2.1652856080687784e-11
FN1,3.8948603,3.6080462714369835e-187
PCOLCE2,3.8793478,1.891336880379339e-50
ADAMTS6,3.8792033,8.936209372637033e-11
PRSS23,3.8765578,1.634158237330029e-214
AKAP12,3.8755012,2.2761855008927999e-41
TAGLN,3.8746226,1.8706706724141312e-104
PLAU,3.840405,2.7998016817610752e-189
GGT5,3.8120706,2.077467193370389e-23
TNIP3,3.7890868,2.5881900147881227e-35
TFPI,3.7599576,2.282025313043592e-141
MMP2,3.7336745,3.4328252354180974e-113
CFH,3.702989,5.661227106124508e-40
GEM,3.6942246,7.3815628179716e-139
C11orf96,3.6709592,0.0024851248399753
TTN,3.6475391,0.0013282028667948
PRRX1,3.6168628,1.0524844212893662e-87
DAB2,3.6100326,4.4325685185505466e-113
F2R,3.5891268,6.673040370532458e-53
ABCA1,3.5797713,6.041435734432122e-82
LAMB1,3.569856,1.0596633266434272e-109
RGS3,3.5447378,3.320675486965915e-143
ZNF385D,3.5369303,1.5146459904615417e-65
CCDC102B,3.5318787,3.416888612749272e-28
CXCL3,3.4710124,7.47296282724654e-83
RAMP1,3.4644654,3.395345606287329e-112
MMP11,3.4615896,3.4164780416127617e-22
ACTG2,3.3720493,8.487800999803291e-42
ADAMTS1,3.3519113,2.986715725925188e-36
LAMA2,3.3378608,0.0002132615130032
EDNRA,3.3253565,1.5380781155263525e-06
TFPI2,3.321771,3.231136035547724e-71
TRAF1,3.2983494,4.005309740019901e-18
CSF1,3.2772696,1.450936849277304e-86
PCSK5,3.2627952,5.6459963595269145e-06
NR2F1,3.2159274,3.05200805324399e-19
MYLK,3.1869302,1.789589442943227e-92
OLFML2A,3.1443346,2.317485490198483e-06
LAMA4,3.1422784,2.0808595523074704e-92
TWIST1,3.1382174,9.778073909160514e-08
LIFR,3.104495,1.9168605236856915e-16
POSTN,3.087554,6.270739837404157e-105
SOD3,3.0185957,1.055074614371946e-103
SULF1,3.0023932,1.9814934107967688e-06
DCN,2.9975698,2.8846758828226023e-16
COL12A1,2.9975288,7.128675574900743e-25
SERPINF1,2.9073436,2.6196559060105026e-12
HSPG2,2.900071,6.0170032188017755e-53
LINC00944,2.889686,7.398093894390782e-09
TIMP3,2.8567674,9.535331989321935e-139
IL6,2.8497977,0.000231184030556
VCAN,2.8093994,5.81089482526298e-81
HMOX1,2.7959325,2.669197251967738e-54
COL4A1,2.7882588,0.0032482791345843
PRKCDBP,2.781992,3.366047580410456e-158
HECW2,2.781717,0.0002087418322098
RCN3,2.7807422,1.9793664923828368e-54
PTX3,2.778263,2.8425758717800745e-10
HSPA6,2.763298,6.837466504921288e-14
MXRA5,2.7456074,0.0078072635567757
PLS3,2.7188053,1.7983238644775324e-78
TGM2,2.7144594,6.748502630424938e-42
ARHGAP24,2.6995027,1.50869327368749e-16
LINC00519,2.616809,0.0067832051526044
CHN1,2.590293,2.680299220906148e-33
CTHRC1,2.5543246,2.4843679204080735e-50
C1orf54,2.5139544,3.141960300922458e-24
LUM,2.4571424,3.8026233079596855e-08
MFAP2,2.4429479,5.952166222012984e-113
ANTXR1,2.4348776,2.541429140400049e-38
CCL2,2.4271421,1.780169334874005e-27
MIR181A1HG,2.4050398,1.5486495555306455e-11
